03-25-2020 20:03:00.908 INFO  dispatchRunner - Search process mode: preforked (first search in process) (build 8f0ead9ec3db).
03-25-2020 20:03:00.909 INFO  dispatchRunner - initing LicenseMgr in search process: nonPro=0
03-25-2020 20:03:00.909 INFO  LicenseMgr - Initing LicenseMgr
03-25-2020 20:03:00.909 INFO  LMConfig - serverName=usrlsplunkmstidx guid=D3EF2C1D-BF4D-4D80-BAF3-75A79C4403BD
03-25-2020 20:03:00.911 INFO  LMConfig - connection_timeout=30
03-25-2020 20:03:00.911 INFO  LMConfig - send_timeout=30
03-25-2020 20:03:00.911 INFO  LMConfig - receive_timeout=30
03-25-2020 20:03:00.911 INFO  LMConfig - squash_threshold=2000
03-25-2020 20:03:00.911 INFO  LMConfig - strict_pool_quota=1
03-25-2020 20:03:00.911 INFO  LMConfig - key=pool_suggestion not found in licenser stanza of server.conf, defaulting=''
03-25-2020 20:03:00.911 INFO  LMConfig - key=test_aws_metering not found in licenser stanza of server.conf, defaulting=0
03-25-2020 20:03:00.911 INFO  LMConfig - key=test_aws_product_code not found in licenser stanza of server.conf, defaulting=0
03-25-2020 20:03:00.911 INFO  LicenseMgr - Initing LicenseMgr runContext_splunkd=false
03-25-2020 20:03:00.911 INFO  LMStackMgr - closing stack mgr
03-25-2020 20:03:00.911 INFO  LMSlaveInfo - all slaves cleared
03-25-2020 20:03:00.911 INFO  LMStackMgr - partial init only since node has remote master=https://10.5.35.170:8089
03-25-2020 20:03:00.911 INFO  LicenseMgr - StackMgr init complete...
03-25-2020 20:03:00.911 INFO  LMTracker - Setting default product type='enterprise'
03-25-2020 20:03:00.911 INFO  LMTracker - this is not splunkd, will perform partial init
03-25-2020 20:03:00.912 INFO  LMTracker - Setting feature=Acceleration state=ENABLED (featureStatus=1)
03-25-2020 20:03:00.912 INFO  LMTracker - Setting feature=AdvancedSearchCommands state=ENABLED (featureStatus=1)
03-25-2020 20:03:00.912 INFO  LMTracker - Setting feature=AdvancedXML state=ENABLED (featureStatus=1)
03-25-2020 20:03:00.912 INFO  LMTracker - Setting feature=Alerting state=ENABLED (featureStatus=1)
03-25-2020 20:03:00.912 INFO  LMTracker - Setting feature=ArchiveToHdfs state=ENABLED (featureStatus=1)
03-25-2020 20:03:00.912 INFO  LMTracker - Setting feature=Auth state=ENABLED (featureStatus=1)
03-25-2020 20:03:00.912 INFO  LMTracker - Setting feature=CustomRoles state=ENABLED (featureStatus=1)
03-25-2020 20:03:00.912 INFO  LMTracker - Setting feature=DeployClient state=ENABLED (featureStatus=1)
03-25-2020 20:03:00.912 INFO  LMTracker - Setting feature=DeployServer state=ENABLED (featureStatus=1)
03-25-2020 20:03:00.912 INFO  LMTracker - Setting feature=DistSearch state=ENABLED (featureStatus=1)
03-25-2020 20:03:00.912 INFO  LMTracker - Setting feature=FwdData state=ENABLED (featureStatus=1)
03-25-2020 20:03:00.912 INFO  LMTracker - Setting feature=GuestPass state=ENABLED (featureStatus=1)
03-25-2020 20:03:00.912 INFO  LMTracker - Setting feature=KVStore state=ENABLED (featureStatus=1)
03-25-2020 20:03:00.912 INFO  LMTracker - Setting feature=LDAPAuth state=ENABLED (featureStatus=1)
03-25-2020 20:03:00.912 INFO  LMTracker - Setting feature=LocalSearch state=ENABLED (featureStatus=1)
03-25-2020 20:03:00.912 INFO  LMTracker - Setting feature=MultifactorAuth state=ENABLED (featureStatus=1)
03-25-2020 20:03:00.912 INFO  LMTracker - Setting feature=MultisiteClustering state=ENABLED (featureStatus=1)
03-25-2020 20:03:00.912 INFO  LMTracker - Setting feature=NontableLookups state=ENABLED (featureStatus=1)
03-25-2020 20:03:00.912 INFO  LMTracker - Setting feature=RcvData state=ENABLED (featureStatus=1)
03-25-2020 20:03:00.912 INFO  LMTracker - Setting feature=RcvSearch state=ENABLED (featureStatus=1)
03-25-2020 20:03:00.912 INFO  LMTracker - Setting feature=RollingWindowAlerts state=ENABLED (featureStatus=1)
03-25-2020 20:03:00.912 INFO  LMTracker - Setting feature=SAMLAuth state=ENABLED (featureStatus=1)
03-25-2020 20:03:00.912 INFO  LMTracker - Setting feature=ScheduledAlerts state=ENABLED (featureStatus=1)
03-25-2020 20:03:00.912 INFO  LMTracker - Setting feature=ScheduledReports state=ENABLED (featureStatus=1)
03-25-2020 20:03:00.912 INFO  LMTracker - Setting feature=ScheduledSearch state=ENABLED (featureStatus=1)
