sid,search,"splunk_server","_time","is_realtime",provenance,"event_count","exec_time","result_count","savedsearch_name","scan_count",status,"total_run_time","api_et","api_lt","search_et","search_lt","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_savedsearch_name","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_api_et","__mv_api_lt","__mv_search_et","__mv_search_lt"
"_habbet_X2hhYmJldA__search__search1_1534161917.208","| rest splunk_server=usrlsplnkidx013 /services/server/info
| fields splunk_server version
| join type=outer splunk_server [rest splunk_server=usrlsplnkidx013 /services/server/status/installed-file-integrity
    | fields splunk_server check_ready check_failures.fail]
| eval check_status = case(isnull('check_failures.fail') AND isnotnull(check_ready), ""enabled"", 'check_failures.fail' == ""check_disabled"", ""disabled"", isnull(check_ready), ""feature unavailable"")
| eval check_ready = if(check_status == ""enabled"", check_ready, ""N/A"")
| fields version check_status check_ready
| rename version AS ""Splunk version"" check_status AS ""Check status"" check_ready AS ""Results ready?""",usrlsplunkmstidx,"1534161917.495893",0,"UI:Dashboard:integrity_check_of_installed_files",0,1534161917,1,search1,0,completed,"0.041",,,,,,,,,,,,,,,,,,,,,
"_habbet_X2hhYmJldA__search__search2_1534161917.209","| rest splunk_server=usrlsplnkidx013 /services/server/status/installed-file-integrity 
| fields check_failures.* 
| untable splunk_server file_path check_result 
| replace ""check_failures.*"" WITH ""*"" IN file_path
| fields file_path check_result
| rename file_path AS ""File path"" check_result AS ""Check result""",usrlsplunkmstidx,"1534161917.503112",0,"UI:Dashboard:integrity_check_of_installed_files",0,1534161917,1,search2,0,completed,"0.10200000000000001",,,,,,,,,,,,,,,,,,,,,
"rt_md_1542602573.18022","| metadata type=sourcetypes | search totalCount > 0",usrlsplunkmstidx,"1542602573.817785",1,"UI:Search",0,1542602573,0,,0,failed,"48.178000000000004",,,,,,,,,,,,,,,,,,,,,
"rt_md_1542602676.18039","| metadata type=sourcetypes | search totalCount > 0",usrlsplunkmstidx,"1542602676.550132",1,"UI:Search",0,1542602676,0,,0,failed,"35.136",,,,,,,,,,,,,,,,,,,,,
"rt_md_1542602686.18040","| metadata type=sourcetypes | search totalCount > 0",usrlsplunkmstidx,"1542602686.346921",1,"UI:Search",0,1542602686,0,,0,failed,"47.128",,,,,,,,,,,,,,,,,,,,,
"rt_md_1542604624.18048","| metadata type=sourcetypes | search totalCount > 0",usrlsplunkmstidx,"1542604624.090884",1,"UI:Search",0,1542604624,0,,0,canceled,"18.13",,,,,,,,,,,,,,,,,,,,,
"1542604642.18051","search index=azure | head 11",usrlsplunkmstidx,"1542604642.085182",0,"UI:Search",11,1542604642,11,,153,completed,"0.523","1542517200.000000000","1542604642.000000000","1542517200.000000000","1542604642.000000000",,,,,,,,,,,,,,,,,
"1542604716.18052","search index=o365_email",usrlsplunkmstidx,"1542604716.151120",0,"UI:Search",0,1542604716,0,,0,completed,"2.028","1539925200.000000000","1542604716.000000000","1539925200.000000000","1542604716.000000000",,,,,,,,,,,,,,,,,
"1542604768.18054","search index=""o365_email""",usrlsplunkmstidx,"1542604768.361990",0,"UI:Search",0,1542604768,0,,0,completed,"2.0140000000000002","1539925200.000000000","1542604768.000000000","1539925200.000000000","1542604768.000000000",,,,,,,,,,,,,,,,,
"1542604780.18055","search index=""o365_email""",usrlsplunkmstidx,"1542604780.033473",0,"UI:Search",0,1542604780,0,,0,completed,"2.0140000000000002","1542590340.000000000","1542604780.000000000","1542590340.000000000","1542604780.000000000",,,,,,,,,,,,,,,,,
"1542604786.18056","search index=""o365_email""",usrlsplunkmstidx,"1542604786.004850",0,"UI:Search",0,1542604786,0,,0,completed,"2.012","1539925200.000000000","1542604786.000000000","1539925200.000000000","1542604786.000000000",,,,,,,,,,,,,,,,,
"1542604994.18057","search index=""o365_email""",usrlsplunkmstidx,"1542604994.978421",0,"UI:Search",0,1542604995,0,,0,completed,"2.031","1539925200.000000000","1542604994.000000000","1539925200.000000000","1542604994.000000000",,,,,,,,,,,,,,,,,
"1542604996.18058","search index=""o365_email""",usrlsplunkmstidx,"1542604996.630802",0,"UI:Search",0,1542604996,0,,0,completed,"2.025","1539925200.000000000","1542604996.000000000","1539925200.000000000","1542604996.000000000",,,,,,,,,,,,,,,,,
"1542605024.18059","search index=""o365_email""",usrlsplunkmstidx,"1542605024.843388",0,"UI:Search",0,1542605024,0,,0,completed,"2.015","1538974800.000000000","1539406800.000000000","1538974800.000000000","1539406800.000000000",,,,,,,,,,,,,,,,,
"rt_1542605044.18060","search index=""o365_email""",usrlsplunkmstidx,"1542605044.113850",1,"UI:Search",0,1542605044,0,,0,completed,"25.060000000000002",,,,,,,,,,,,,,,,,,,,,
"1542605071.18061","search index=""o365_email""",usrlsplunkmstidx,"1542605071.215902",0,"UI:Search",0,1542605071,0,,0,completed,"2.0260000000000002","1539925200.000000000","1542605071.000000000","1539925200.000000000","1542605071.000000000",,,,,,,,,,,,,,,,,
