sid,search,"splunk_server","_time","is_realtime",provenance,"event_count","exec_time","result_count","savedsearch_name","scan_count",status,"total_run_time","api_et","api_lt","search_et","search_lt","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_savedsearch_name","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_api_et","__mv_api_lt","__mv_search_et","__mv_search_lt"
"pierceg__pierceg_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5f76c382ac3c1d510_1508362741.34","| localop | inputlookup dmc_assets | stats dc(serverName) as instance_count dc(machine) as machine_count by search_group | where match(search_group,""dmc_group_"") | eval count = ""count"" | chart format=$VAL$_$AGG$ values(instance_count) AS instance_count values(machine_count) AS machine_count over count by search_group",usrlsplunkmstidx,"1508362741.393435",0,splunkjs,0,1508362741,1,"manager_5704",0,completed,"0.039",,,,,,,,,,,,,,,,,,,,,
"pierceg__pierceg_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5ab2c0987f2042453_1508362741.35","| inputlookup dmc_assets | join type=outer serverName [ | rest splunk_server_group=dmc_group_* /services/server/status/resource-usage/hostwide | eval cpu_pct = cpu_system_pct + cpu_user_pct | eval mem_used_pct = mem_used / mem * 100 | fields cpu_pct mem_used_pct splunk_server | rename splunk_server as serverName ] | join type=outer peerURI [ | rest splunk_server=local /services/search/distributed/peers | fields title status | rename title as peerURI ] | eval status=if(((status!=""Up"") OR isnull(status)) AND (peerURI!=""localhost""), 1, 0) | stats dc(serverName) as instances dc(machine) as machines sum(status) as num_down avg(cpu_pct) as cpu avg(mem_used_pct) as mem by search_group | eval cpu=round(cpu, 2) | eval mem=round(mem, 2)",usrlsplunkmstidx,"1508362741.395034",0,splunkjs,0,1508362741,4,"manager_5764",0,completed,"0.189",,,,,,,,,,,,,,,,,,,,,
"pierceg__pierceg_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5cb918db9f6e08db6_1508362741.36","| rest splunk_server_group=dmc_group_cluster_master /services/cluster/master/peers",usrlsplunkmstidx,"1508362741.402607",0,splunkjs,0,1508362741,3,"manager_5874",0,completed,"0.066",,,,,,,,,,,,,,,,,,,,,
"pierceg__pierceg_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5f8d5a71fc7a25653_1508362741.37","| rest splunk_server_group=dmc_group_cluster_master /services/cluster/master/indexes",usrlsplunkmstidx,"1508362741.406871",0,splunkjs,0,1508362741,32,"manager_5934",0,completed,"0.061",,,,,,,,,,,,,,,,,,,,,
"pierceg__pierceg_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5ef61601242304163_1508362741.38","| rest splunk_server_group=dmc_group_license_master /services/licenser/pools | join type=outer stack_id splunk_server [ rest splunk_server_group=dmc_group_license_master /services/licenser/groups | search is_active=1 | eval stack_id = stack_ids | fields splunk_server stack_id is_active] | search is_active=1 | stats sum(used_bytes) AS used_bytes by splunk_server, stack_id | join type=outer stack_id splunk_server [ rest splunk_server_group=dmc_group_license_master /services/licenser/stacks | eval stack_id = title | eval stack_quota = quota | stats sum(stack_quota) AS stack_quota by splunk_server, stack_id] | stats sum(used_bytes) as used_bytes sum(stack_quota) as stack_quota | eval usedMB  = round(used_bytes/1024/1024, 0) | eval usedGB  = round(used_bytes/1024/1024/1024, 2) | eval totalMB = round(stack_quota/1024/1024, 0) | eval totalGB = round(stack_quota/1024/1024/1024, 2) | eval used  = if(totalMB > 1024, usedGB, usedMB) | eval total = if(totalMB > 1024, totalGB, totalMB) | eval unit  = if(totalMB > 1024, ""GB"", ""MB"") | eval usage_pct = round(used / total, 3)*100 | eval output = used. "" / "" .total."" "".unit | fields usage_pct, output",usrlsplunkmstidx,"1508362741.414292",0,splunkjs,0,1508362741,0,"manager_6034",0,completed,"0.082",,,,,,,,,,,,,,,,,,,,,
"pierceg__pierceg_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5fe086c25a78afba6_1508362741.39","| rest splunk_server_group=dmc_group_license_master /services/licenser/slaves | mvexpand active_pool_ids | where warning_count>0 | eval pool=active_pool_ids | join type=outer pool [rest splunk_server_group=dmc_group_license_master /services/licenser/pools | eval pool=title | fields pool stack_id] | eval in_violation=if(warning_count>4 OR (warning_count>2 AND stack_id==""free""),""yes"",""no"") | fields label, title, pool, warning_count, in_violation | fields - _timediff | rename label as ""Slave"" title as ""GUID"" pool as ""Pool"" warning_count as ""Hard Warnings"" in_violation AS ""In Violation?"" | stats count",usrlsplunkmstidx,"1508362741.417512",0,splunkjs,0,1508362741,1,"manager_6094",0,completed,"0.073",,,,,,,,,,,,,,,,,,,,,
"pierceg__pierceg_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5dca35782054fd014_1508362741.40","| rest splunk_server_group=dmc_group_deployment_server /services/deployment/server/clients | stats count",usrlsplunkmstidx,"1508362741.420441",0,splunkjs,0,1508362741,0,"manager_6154",0,completed,"0.03",,,,,,,,,,,,,,,,,,,,,
"pierceg__pierceg_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5064eb23f79406808_1508362741.41","| rest splunk_server_group=dmc_group_deployment_server /services/deployment/server/applications | stats count",usrlsplunkmstidx,"1508362741.422924",0,splunkjs,0,1508362741,0,"manager_6214",0,completed,"0.018000000000000002",,,,,,,,,,,,,,,,,,,,,
"pierceg__pierceg_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD591f902b291891107_1508362741.42","| localop | inputlookup dmc_assets",usrlsplunkmstidx,"1508362741.462385",0,splunkjs,0,1508362741,9,"manager_6278",0,completed,"0.022",,,,,,,,,,,,,,,,,,,,,
"pierceg__pierceg_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5edbd6466a38101ec_1508362741.44","| rest splunk_server_group=dmc_group_search_head /services/search/distributed/peers | fields peerName splunk_server | dedup peerName splunk_server | rename peerName as indexer splunk_server as search_head ",usrlsplunkmstidx,"1508362741.465476",0,splunkjs,0,1508362741,3,"manager_6349",0,completed,"0.035",,,,,,,,,,,,,,,,,,,,,
"pierceg__pierceg_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5d6c7eaa40cc0c5bc_1508362741.47","| rest splunk_server_group=dmc_group_search_head /services/server/status/resource-usage/splunk-processes | stats dc(search_props.sid) as search_concurrency by splunk_server | fields splunk_server search_concurrency",usrlsplunkmstidx,"1508362741.468721",0,splunkjs,0,1508362741,1,"manager_6565",0,completed,"0.033",,,,,,,,,,,,,,,,,,,,,
"pierceg__pierceg_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5139f82c3d5c90434_1508362741.49","| `dmc_get_all_triggered_alerts(1440)`",usrlsplunkmstidx,"1508362741.566657",0,splunkjs,0,1508362741,0,"alerts-fired-search",0,completed,"0.135",,,,,,,,,,,,,,,,,,,,,
"pierceg__pierceg_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD50030c535168079d9_1508897326.1612","| `dmc_instances_view_default_search(*)`",usrlsplunkmstidx,"1508897326.535316",0,splunkjs,0,1508897326,4,instanceSearchManager,0,completed,"0.076","1508882880.000000000","1508897326.000000000","1508882880.000000000","1508897326.000000000",,,,,,,,,,,,,,,,,
"pierceg__pierceg_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5f76c382ac3c1d510_1508897354.1613","| localop | inputlookup dmc_assets | stats dc(serverName) as instance_count dc(machine) as machine_count by search_group | where match(search_group,""dmc_group_"") | eval count = ""count"" | chart format=$VAL$_$AGG$ values(instance_count) AS instance_count values(machine_count) AS machine_count over count by search_group",usrlsplunkmstidx,"1508897354.036310",0,splunkjs,0,1508897354,1,"manager_5704",0,completed,"0.058",,,,,,,,,,,,,,,,,,,,,
"pierceg__pierceg_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5ab2c0987f2042453_1508897354.1614","| inputlookup dmc_assets | join type=outer serverName [ | rest splunk_server_group=dmc_group_* /services/server/status/resource-usage/hostwide | eval cpu_pct = cpu_system_pct + cpu_user_pct | eval mem_used_pct = mem_used / mem * 100 | fields cpu_pct mem_used_pct splunk_server | rename splunk_server as serverName ] | join type=outer peerURI [ | rest splunk_server=local /services/search/distributed/peers | fields title status | rename title as peerURI ] | eval status=if(((status!=""Up"") OR isnull(status)) AND (peerURI!=""localhost""), 1, 0) | stats dc(serverName) as instances dc(machine) as machines sum(status) as num_down avg(cpu_pct) as cpu avg(mem_used_pct) as mem by search_group | eval cpu=round(cpu, 2) | eval mem=round(mem, 2)",usrlsplunkmstidx,"1508897354.051403",0,splunkjs,0,1508897354,4,"manager_5764",0,completed,"0.18",,,,,,,,,,,,,,,,,,,,,
"pierceg__pierceg_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5cb918db9f6e08db6_1508897354.1615","| rest splunk_server_group=dmc_group_cluster_master /services/cluster/master/peers",usrlsplunkmstidx,"1508897354.059064",0,splunkjs,0,1508897354,3,"manager_5874",0,completed,"0.043000000000000003",,,,,,,,,,,,,,,,,,,,,
"pierceg__pierceg_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5f8d5a71fc7a25653_1508897354.1616","| rest splunk_server_group=dmc_group_cluster_master /services/cluster/master/indexes",usrlsplunkmstidx,"1508897354.063408",0,splunkjs,0,1508897354,44,"manager_5934",0,completed,"0.063",,,,,,,,,,,,,,,,,,,,,
"pierceg__pierceg_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5ef61601242304163_1508897354.1617","| rest splunk_server_group=dmc_group_license_master /services/licenser/pools | join type=outer stack_id splunk_server [ rest splunk_server_group=dmc_group_license_master /services/licenser/groups | search is_active=1 | eval stack_id = stack_ids | fields splunk_server stack_id is_active] | search is_active=1 | stats sum(used_bytes) AS used_bytes by splunk_server, stack_id | join type=outer stack_id splunk_server [ rest splunk_server_group=dmc_group_license_master /services/licenser/stacks | eval stack_id = title | eval stack_quota = quota | stats sum(stack_quota) AS stack_quota by splunk_server, stack_id] | stats sum(used_bytes) as used_bytes sum(stack_quota) as stack_quota | eval usedMB  = round(used_bytes/1024/1024, 0) | eval usedGB  = round(used_bytes/1024/1024/1024, 2) | eval totalMB = round(stack_quota/1024/1024, 0) | eval totalGB = round(stack_quota/1024/1024/1024, 2) | eval used  = if(totalMB > 1024, usedGB, usedMB) | eval total = if(totalMB > 1024, totalGB, totalMB) | eval unit  = if(totalMB > 1024, ""GB"", ""MB"") | eval usage_pct = round(used / total, 3)*100 | eval output = used. "" / "" .total."" "".unit | fields usage_pct, output",usrlsplunkmstidx,"1508897354.070857",0,splunkjs,0,1508897354,0,"manager_6034",0,completed,"0.09",,,,,,,,,,,,,,,,,,,,,
"pierceg__pierceg_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5fe086c25a78afba6_1508897354.1618","| rest splunk_server_group=dmc_group_license_master /services/licenser/slaves | mvexpand active_pool_ids | where warning_count>0 | eval pool=active_pool_ids | join type=outer pool [rest splunk_server_group=dmc_group_license_master /services/licenser/pools | eval pool=title | fields pool stack_id] | eval in_violation=if(warning_count>4 OR (warning_count>2 AND stack_id==""free""),""yes"",""no"") | fields label, title, pool, warning_count, in_violation | fields - _timediff | rename label as ""Slave"" title as ""GUID"" pool as ""Pool"" warning_count as ""Hard Warnings"" in_violation AS ""In Violation?"" | stats count",usrlsplunkmstidx,"1508897354.074538",0,splunkjs,0,1508897354,1,"manager_6094",0,completed,"0.074",,,,,,,,,,,,,,,,,,,,,
"pierceg__pierceg_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5dca35782054fd014_1508897354.1619","| rest splunk_server_group=dmc_group_deployment_server /services/deployment/server/clients | stats count",usrlsplunkmstidx,"1508897354.076586",0,splunkjs,0,1508897354,0,"manager_6154",0,completed,"0.013000000000000001",,,,,,,,,,,,,,,,,,,,,
"pierceg__pierceg_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5064eb23f79406808_1508897354.1620","| rest splunk_server_group=dmc_group_deployment_server /services/deployment/server/applications | stats count",usrlsplunkmstidx,"1508897354.080788",0,splunkjs,0,1508897354,0,"manager_6214",0,completed,"0.011",,,,,,,,,,,,,,,,,,,,,
"pierceg__pierceg_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD591f902b291891107_1508897354.1621","| localop | inputlookup dmc_assets",usrlsplunkmstidx,"1508897354.089425",0,splunkjs,0,1508897354,9,"manager_6278",0,completed,"0.027",,,,,,,,,,,,,,,,,,,,,
"pierceg__pierceg_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5edbd6466a38101ec_1508897354.1622","| rest splunk_server_group=dmc_group_search_head /services/search/distributed/peers | fields peerName splunk_server | dedup peerName splunk_server | rename peerName as indexer splunk_server as search_head ",usrlsplunkmstidx,"1508897354.091001",0,splunkjs,0,1508897354,3,"manager_6349",0,completed,"0.035",,,,,,,,,,,,,,,,,,,,,
"pierceg__pierceg_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD533c93ded34e259c9_1508897354.1623","| rest splunk_server_group=dmc_group_* /services/server/status/resource-usage/hostwide | eval mem_used=round(mem_used/mem*100) | eval cpu_system_pct = cpu_system_pct + cpu_user_pct | fields splunk_server cpu_system_pct mem_used",usrlsplunkmstidx,"1508897354.096381",0,splunkjs,0,1508897354,4,"manager_6443",3,completed,"0.126",,,,,,,,,,,,,,,,,,,,,
"pierceg__pierceg_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5444f59cbb971818c_1508897354.1624","| rest splunk_server_group=dmc_group_indexer /services/server/introspection/indexer | fields splunk_server average_KBps  | eval indexing_rate=round(average_KBps) | fields splunk_server indexing_rate",usrlsplunkmstidx,"1508897354.101395",0,splunkjs,0,1508897354,4,"manager_6504",3,completed,"0.106",,,,,,,,,,,,,,,,,,,,,
"pierceg__pierceg_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5d6c7eaa40cc0c5bc_1508897354.1625","| rest splunk_server_group=dmc_group_search_head /services/server/status/resource-usage/splunk-processes | stats dc(search_props.sid) as search_concurrency by splunk_server | fields splunk_server search_concurrency",usrlsplunkmstidx,"1508897354.104457",0,splunkjs,0,1508897354,1,"manager_6565",0,completed,"0.04",,,,,,,,,,,,,,,,,,,,,
"pierceg__pierceg_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5f7fc3ba4b89388f6_1508897354.1626","| rest splunk_server=local /services/search/distributed/peers | eval up_down_status=if(status==""Down"",0,1) | rename peerName as splunk_server | fields cpu_arch os_name os_version numberOfCores numberOfVirtualCores physicalMemoryMB version splunk_server up_down_status",usrlsplunkmstidx,"1508897354.106653",0,splunkjs,0,1508897354,3,"manager_6626",0,completed,"0.054",,,,,,,,,,,,,,,,,,,,,
"pierceg__pierceg_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD500a6d39f9e64ae81_1508897354.1627","| rest splunk_server=local /services/server/info | fields cpu_arch os_name os_version numberOfCores numberOfVirtualCores physicalMemoryMB version",usrlsplunkmstidx,"1508897354.120298",0,splunkjs,0,1508897354,1,"manager_6687",0,completed,"0.027",,,,,,,,,,,,,,,,,,,,,
"pierceg__pierceg_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5139f82c3d5c90434_1508897354.1628","| `dmc_get_all_triggered_alerts(1440)`",usrlsplunkmstidx,"1508897354.186469",0,splunkjs,0,1508897354,0,"alerts-fired-search",0,completed,"0.146",,,,,,,,,,,,,,,,,,,,,
