sid,search,"splunk_server","_time","is_realtime",provenance,"event_count","exec_time","result_count","savedsearch_name","scan_count",status,"total_run_time","api_et","api_lt","search_et","search_lt","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_savedsearch_name","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_api_et","__mv_api_lt","__mv_search_et","__mv_search_lt"
"riveraa60__riveraa60_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__search1_1550786439.686","| `dmc_get_groups_containing_role(dmc_group_indexer)`
          | where search_group!=""dmc_group_indexer""",usrlsplunkmstidx,"1550786439.571048",0,"UI:Dashboard:indexing_performance_deployment",0,1550786439,2,search1,0,completed,"0.01",,,,,,,,,,,,,,,,,,,,,
"riveraa60__riveraa60_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5462ed53e71a7d299_1550786441.687","| rest splunk_server_group=dmc_group_indexer splunk_server_group=""*"" /services/server/introspection/queues
        | search title=parsingQueue* OR title=aggQueue* OR title=typingQueue* OR title=indexQueue*
        | eval fill_perc=round(current_size_bytes / max_size_bytes * 100,2)
        | fields splunk_server, title, fill_perc
        | rex field=title ""(?<queue_name>^\w+)(?:\.(?<pipeline_number>\d+))?""
        | eval fill_perc = if(isnotnull(pipeline_number), ""pset"".pipeline_number."": "".fill_perc, fill_perc)
        | chart values(fill_perc) over splunk_server by queue_name
        | eval pset_count = mvcount(parsingQueue)
        | join type=outer splunk_server [
          | rest splunk_server_group=dmc_group_indexer splunk_server_group=""*"" /services/server/introspection/indexer
          | eval average_KBps = round(average_KBps, 0)
          | eval status = if((reason == ""."") OR (reason == """") OR isnull(reason), status, status."": "".reason)
          | fields splunk_server, average_KBps, status]
        | fields splunk_server pset_count average_KBps status parsingQueue aggQueue typingQueue indexQueue
        | sort -average_KBps",usrlsplunkmstidx,"1550786441.409825",0,"UI:Dashboard:indexing_performance_deployment",0,1550786445,14,"parallel_pipe_api_base",0,completed,"0.841",,,,,,,,,,,,,,,,,,,,,
"riveraa60__riveraa60_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5169de6363cce6bf3_1550786441.688","search `dmc_set_index_internal` source=*metrics.log* sourcetype=splunkd search_group=dmc_group_indexer search_group=* group=thruput name=index_thruput
                    | `dmc_timechart_for_metrics_log` partial=f limit=0 per_second(kb) AS kbps by host
                    | untable _time host kbps
                    | eval kbps = round(kbps,0)
                    | `dmc_indexing_rate_rangemap_and_timechart`",usrlsplunkmstidx,"1550786441.411076",0,"UI:Dashboard:indexing_performance_deployment",24196,1550786441,48,"instances_by_estimated_indexing_rate",24196,completed,"3.494","1550772000.000000000","1550786441.000000000","1550772000.000000000","1550786441.000000000",,,,,,,,,,,,,,,,,
"riveraa60__riveraa60_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__search7_1550786441.689","search `dmc_set_index_internal` source=*metrics.log* sourcetype=splunkd search_group=dmc_group_indexer search_group=""*"" group=thruput name=index_thruput
| `dmc_timechart_for_metrics_log` partial=f limit=0 per_second(kb) AS kbps by host
| untable _time host kbps
| eval kbps = round(kbps,0)
| `dmc_indexing_rate_rangemap_and_timechart`",usrlsplunkmstidx,"1550786441.415122",0,"UI:Dashboard:indexing_performance_deployment",24196,1550786441,48,search7,24196,completed,"2.876","1550772000.000000000","1550786441.000000000","1550772000.000000000","1550786441.000000000",,,,,,,,,,,,,,,,,
"riveraa60__riveraa60_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__search9_1550786441.690","search `dmc_set_index_internal` source=*metrics.log* sourcetype=splunkd search_group=dmc_group_indexer search_group=""*"" group=thruput name=index_thruput
| `dmc_timechart_for_metrics_log` partial=f per_second(kb) AS kbps by host
| eval kbps = round(kbps, 0)",usrlsplunkmstidx,"1550786441.435919",0,"UI:Dashboard:indexing_performance_deployment",24196,1550786441,48,search9,24196,completed,"3.208","1550772000.000000000","1550786441.000000000","1550772000.000000000","1550786441.000000000",,,,,,,,,,,,,,,,,
"riveraa60__riveraa60_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__search10_1550786441.691","search `dmc_set_index_internal` source=*metrics.log* sourcetype=splunkd search_group=dmc_group_indexer search_group=""*"" group=thruput name=index_thruput 
| `dmc_timechart_for_metrics_log` partial=f per_second(kb) AS kbps dc(host) AS num_hosts 
| eval kbps = kbps / 1 
| eval kbps = round(kbps, 0)
| fields - num_hosts",usrlsplunkmstidx,"1550786441.504197",0,"UI:Dashboard:indexing_performance_deployment",24204,1550786442,48,search10,24204,completed,"3.027","1550772000.000000000","1550786441.000000000","1550772000.000000000","1550786441.000000000",,,,,,,,,,,,,,,,,
"riveraa60__riveraa60_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__search11_1550786441.692","search `dmc_set_index_internal` sourcetype=splunkd source=*metrics.log search_group=dmc_group_indexer search_group=""*"" group=queue name=indexqueue
                    | eval max=if(isnotnull(max_size_kb),max_size_kb,max_size)
                    | eval curr=if(isnotnull(current_size_kb),current_size_kb,current_size)
                    | eval fill_perc=round((curr/max)*100,2)
                    | bin _time minspan=30s
                    | stats Median(fill_perc) AS ""fill_percentage"" by host, _time
                    | `dmc_queue_fill_ratio_rangemap_and_timechart`",usrlsplunkmstidx,"1550786441.511877",0,"UI:Dashboard:indexing_performance_deployment",24196,1550786442,48,search11,24196,completed,"3.1910000000000003","1550772000.000000000","1550786441.000000000","1550772000.000000000","1550786441.000000000",,,,,,,,,,,,,,,,,
"riveraa60__riveraa60_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__search12_1550786441.693","search `dmc_set_index_internal` sourcetype=splunkd source=*metrics.log search_group=dmc_group_indexer search_group=""*"" group=queue name=indexqueue
| eval max=if(isnotnull(max_size_kb),max_size_kb,max_size)
| eval curr=if(isnotnull(current_size_kb),current_size_kb,current_size)
| eval fill_perc=round((curr/max)*100,2)
| bin _time minspan=30s
| stats Median(fill_perc) AS ""fill_percentage"" by host, _time
| `dmc_queue_fill_ratio_rangemap_and_timechart`",usrlsplunkmstidx,"1550786441.514207",0,"UI:Dashboard:indexing_performance_deployment",24196,1550786442,48,search12,24196,completed,"3.244","1550772000.000000000","1550786441.000000000","1550772000.000000000","1550786441.000000000",,,,,,,,,,,,,,,,,
"riveraa60__riveraa60_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__search14_1550786441.694","search `dmc_set_index_internal` sourcetype=splunkd source=*metrics.log search_group=dmc_group_indexer search_group=""*"" group=queue name=indexqueue
| eval max=if(isnotnull(max_size_kb),max_size_kb,max_size)
| eval curr=if(isnotnull(current_size_kb),current_size_kb,current_size)
| eval fill_perc=round((curr/max)*100,2)
| `dmc_timechart_for_metrics_log` partial=f limit=25 Median(fill_perc) AS fill_percentage by host",usrlsplunkmstidx,"1550786441.540242",0,"UI:Dashboard:indexing_performance_deployment",24200,1550786442,48,search14,24200,completed,"3.278","1550772000.000000000","1550786441.000000000","1550772000.000000000","1550786441.000000000",,,,,,,,,,,,,,,,,
"riveraa60__riveraa60_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__search15_1550786441.695","search `dmc_set_index_internal` sourcetype=splunkd source=*metrics.log search_group=dmc_group_indexer search_group=""*"" group=queue name=indexqueue
| eval max=if(isnotnull(max_size_kb),max_size_kb,max_size)
| eval curr=if(isnotnull(current_size_kb),current_size_kb,current_size)
| eval fill_perc=round((curr/max)*100,2)
| `dmc_timechart_for_metrics_log` partial=f Avg(fill_perc) AS fill_percentage",usrlsplunkmstidx,"1550786441.603381",0,"UI:Dashboard:indexing_performance_deployment",24200,1550786442,48,search15,24200,completed,"3.11","1550772000.000000000","1550786441.000000000","1550772000.000000000","1550786441.000000000",,,,,,,,,,,,,,,,,
