sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","scan_count",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time"
"1581596221.21354","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",usrlsplunkmstidx,"1581596221.151948",0,7,1581596221,7,0,canceled,"1.7770000000000001",,,,,,,,,,,
"1581599821.21367","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""",usrlsplunkmstidx,"1581599821.174089",0,8,1581599821,8,0,canceled,"1.666",,,,,,,,,,,
"1581603421.21380","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""",usrlsplunkmstidx,"1581603421.109219",0,8,1581603421,8,0,canceled,"1.659",,,,,,,,,,,
"1581607021.21393","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",usrlsplunkmstidx,"1581607021.273875",0,11,1581607021,11,0,canceled,"1.926",,,,,,,,,,,
"1581610621.21406","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""",usrlsplunkmstidx,"1581610621.191460",0,10,1581610621,10,0,canceled,"1.581",,,,,,,,,,,
"1581614221.21419","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""",usrlsplunkmstidx,"1581614221.276753",0,10,1581614221,10,0,canceled,"1.596",,,,,,,,,,,
"1581617821.21432","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",usrlsplunkmstidx,"1581617821.323697",0,9,1581617821,9,0,canceled,"1.621",,,,,,,,,,,
"1581621421.21445","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",usrlsplunkmstidx,"1581621421.430891",0,10,1581621421,10,0,canceled,"1.694",,,,,,,,,,,
"1581625020.21458","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""",usrlsplunkmstidx,"1581625020.554110",0,12,1581625020,12,0,canceled,"2.084",,,,,,,,,,,
"1581628620.21471","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""",usrlsplunkmstidx,"1581628620.619211",0,8,1581628620,8,0,canceled,"1.951",,,,,,,,,,,
"1581632220.21484","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",usrlsplunkmstidx,"1581632220.627447",0,10,1581632220,10,0,canceled,"2.031",,,,,,,,,,,
"1581635820.21496","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",usrlsplunkmstidx,"1581635820.661575",0,11,1581635820,11,0,canceled,"36.158",,,,,,,,,,,
"1581639420.21509","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""",usrlsplunkmstidx,"1581639420.581950",0,11,1581639420,11,0,canceled,"7.191",,,,,,,,,,,
"1581643020.21522","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",usrlsplunkmstidx,"1581643020.614930",0,11,1581643020,11,0,canceled,"9.109",,,,,,,,,,,
"1581646620.21535","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""",usrlsplunkmstidx,"1581646620.980950",0,13,1581646621,13,0,canceled,"5.378",,,,,,,,,,,
"1581650220.21548","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""",usrlsplunkmstidx,"1581650220.966376",0,10,1581650221,10,0,canceled,"5.974",,,,,,,,,,,
"1581653821.21561","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",usrlsplunkmstidx,"1581653821.090732",0,8,1581653821,8,0,canceled,"11.620000000000001",,,,,,,,,,,
"1581657421.21574","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""",usrlsplunkmstidx,"1581657421.129648",0,11,1581657421,11,0,canceled,"18.052",,,,,,,,,,,
"1581661021.21587","| copybuckets json=""{\""providers\"": {}, \""vixes\"": {}}""",usrlsplunkmstidx,"1581661021.346722",0,9,1581661021,9,0,canceled,"34.012",,,,,,,,,,,
"1581664620.21600","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",usrlsplunkmstidx,"1581664620.543145",0,6,1581664620,6,0,canceled,"33.56",,,,,,,,,,,
"1581668220.21613","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",usrlsplunkmstidx,"1581668220.513138",0,9,1581668220,9,0,canceled,"32.009",,,,,,,,,,,
"1581671820.21629","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""",usrlsplunkmstidx,"1581671820.635338",0,10,1581671820,10,0,canceled,"2.939",,,,,,,,,,,
